lakeid,year4,sampledate,sta,depth_range,division,taxa_name,gald,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc,relative_total_biovolume,genus
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Closterium moniliferum",70.0,1.0,18.2,18.2,6868,0.007,1.42,"Closterium"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Monomastix astigmata",4.0,1.0,18.2,18.2,171,0.000,0.04,"Monomastix"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Chromulina ",4.5,1.0,136.3,136.3,6745,0.007,1.39,"Chromulina"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Chrysolykos planctonicus",16.0,1.0,27.3,27.3,1142,0.001,0.24,"Chrysolykos"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon ",6.0,1.0,100.0,100.0,7851,0.008,1.62,"Dinobryon"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon bavaricum",130.0,4.0,18.2,72.7,13704,0.014,2.83,"Dinobryon"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Erkenia subaequiciliata",4.0,1.0,727.0,727.0,21987,0.022,4.54,"Erkenia"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Mallomonas akrokomas",24.0,1.0,9.1,9.1,1713,0.002,0.35,"Mallomonas"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Cryptophyta","Cryptomonas erosa",22.0,1.0,54.5,54.5,52303,0.052,10.80,"Cryptomonas"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",6.0,1.0,27.3,27.3,799,0.001,0.17,"Rhodomonas"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Cyanophyta","Aphanocapsa elachista",100.0,100.0,9.1,908.8,3807,0.004,0.79,"Aphanocapsa"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Cyanophyta","Aphanothece nidulans",20.0,27.5,81.8,2249.2,2355,0.002,0.49,"Aphanothece"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Cyanophyta","Chroococcus minutus",12.0,8.0,9.1,72.7,4111,0.004,0.85,"Chroococcus"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechococcus elongatus",2.0,1.0,27.3,27.3,29,0.000,0.01,"Synechococcus"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechocystis ",1.3,1.0,408.9,408.9,468,0.001,0.10,"Synechocystis"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Pyrrhophyta","Peridinium limbatum",60.0,1.0,9.1,9.1,308538,0.309,63.73,"Peridinium"
"CR",2005,2005-11-15 00:00:00,1,"HP 0-bottom","Rhodophyta","Bitrichia ochridana",60.0,1.0,27.3,27.3,2141,0.002,0.44,"Bitrichia"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Bacillariophyta","Synedra filiformis",81.7,1.0,290.8,290.8,177392,0.177,5.39,"Synedra"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Bacillariophyta","Synedra tenera",100.0,1.0,18.2,18.2,29081,0.029,0.88,"Synedra"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlorococcaceae",5.0,1.0,36.4,36.4,2379,0.002,0.07,
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Chlorophyta","Ankistrodesmus falcatus",52.5,1.0,272.6,272.6,13490,0.014,0.41,"Ankistrodesmus"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Chlorophyta","Arthrodesmus incus",30.0,1.0,18.2,18.2,8641,0.009,0.26,"Arthrodesmus"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlamydomonas ",6.7,1.0,54.5,54.5,6973,0.007,0.21,"Chlamydomonas"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Chlorophyta","Dictyosphaerium chlorelloides",16.0,4.0,18.2,72.7,2199,0.002,0.07,"Dictyosphaerium"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Chlorophyta","Monomastix astigmata",4.0,1.0,4089.5,4089.5,38542,0.039,1.17,"Monomastix"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Chromulina ",5.7,1.0,454.4,454.4,44173,0.044,1.34,"Chromulina"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Chrysolykos planctonicus",24.0,1.0,54.5,54.5,1542,0.002,0.05,"Chrysolykos"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Erkenia subaequiciliata",4.0,1.0,545.3,545.3,16490,0.017,0.50,"Erkenia"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Mallomonas ",16.0,1.0,54.5,54.5,45680,0.046,1.39,"Mallomonas"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Cryptophyta","Cryptomonas erosa",20.5,1.0,127.2,127.2,118577,0.119,3.60,"Cryptomonas"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",13.0,1.0,127.2,127.2,13190,0.013,0.40,"Rhodomonas"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",9.0,1.0,36.4,36.4,1218,0.001,0.04,"Rhodomonas"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechococcus elongatus",2.5,1.0,1635.8,1635.8,2141,0.002,0.07,"Synechococcus"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechocystis ",1.0,1.0,1635.8,1635.8,856,0.001,0.03,"Synechocystis"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Miscellaneous",,5.0,1.0,145.4,145.4,6091,0.006,0.18,
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Pyrrhophyta","Gymnodinium sp 3",8.0,1.0,90.9,90.9,9326,0.009,0.28,"Gymnodinium"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Pyrrhophyta","Peridinium limbatum",70.0,1.0,54.5,54.5,2753118,2.753,83.61,"Peridinium"
"CR",2006,2006-04-19 00:00:00,1,"HP 0-bottom","Rhodophyta","Bitrichia ochridana",60.0,1.0,18.2,18.2,1523,0.002,0.05,"Bitrichia"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Bacillariophyta","Synedra filiformis",86.7,1.0,127.2,127.2,65310,0.065,5.96,"Synedra"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Bacillariophyta","Tabellaria fenestrata",60.0,1.0,36.4,36.4,78518,0.079,7.17,"Tabellaria"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlorococcaceae",6.3,1.0,54.5,54.5,8118,0.008,0.74,
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Actinastrum hantzschii",12.0,1.0,18.2,18.2,365,0.000,0.03,"Actinastrum"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Ankistrodesmus falcatus",40.0,1.0,18.2,18.2,685,0.001,0.06,"Ankistrodesmus"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Bacillariophyta","Asterionella formosa",90.0,1.0,81.8,81.8,98692,0.099,6.60,"Asterionella"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Bacillariophyta","Cyclotella bodanica",24.0,1.0,4.4,4.4,23826,0.024,1.59,"Cyclotella"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Bacillariophyta","Fragilaria construens",24.0,2.0,4.4,8.8,2978,0.003,0.20,"Fragilaria"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Bacillariophyta","Fragilaria crotonensis",88.0,8.0,27.3,218.1,241189,0.241,16.12,"Fragilaria"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Bacillariophyta","Nitzschia gracilis",48.0,1.0,4.4,4.4,1324,0.001,0.09,"Nitzschia"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Bacillariophyta","Stephanodiscus parvus",8.0,1.0,109.1,109.1,21926,0.022,1.47,"Stephanodiscus"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Bacillariophyta","Synedra filiformis",75.0,1.0,54.5,54.5,23174,0.023,1.55,"Synedra"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Bacillariophyta","Synedra ulna",280.0,1.0,4.4,4.4,78650,0.079,5.26,"Synedra"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlorococcaceae",5.4,1.0,218.1,218.1,23639,0.024,1.58,
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlamydomonas ",6.6,1.0,190.8,190.8,21951,0.022,1.47,"Chlamydomonas"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlorogonium ",72.0,1.0,4.4,4.4,4765,0.005,0.32,"Chlorogonium"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chlorophyta","Monomastix astigmata",4.0,1.0,136.3,136.3,1285,0.001,0.09,"Monomastix"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chlorophyta","Pyramichlamys dissecta",14.0,1.0,27.3,27.3,14389,0.014,0.96,"Pyramichlamys"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chlorophyta","Schroederia judayi",32.2,1.0,408.9,408.9,10972,0.011,0.73,"Schroederia"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Chrysophyceae",8.0,1.0,654.3,654.3,110545,0.111,7.39,
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Chrysophyceae",8.0,1.0,299.9,299.9,76427,0.076,5.11,
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Chromulina ",3.2,1.0,3271.6,3271.6,58927,0.059,3.94,"Chromulina"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Chrysococcus minutus",6.0,1.0,27.3,27.3,825,0.001,0.06,"Chrysococcus"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon cylindricum",65.0,1.0,8.8,8.8,7060,0.007,0.47,"Dinobryon"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon cyst",8.0,1.0,27.3,27.3,6948,0.007,0.46,"Dinobryon"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon divergens",120.0,7.0,27.3,190.8,39970,0.040,2.67,"Dinobryon"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Erkenia subaequiciliata",4.0,1.0,763.4,763.4,23087,0.023,1.54,"Erkenia"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Mallomonas ",13.3,1.0,245.4,245.4,159145,0.159,10.64,"Mallomonas"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Ochromonas ",5.7,1.0,954.2,954.2,79247,0.079,5.30,"Ochromonas"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Chrysophyta","Uroglena ",6.0,1.0,81.8,81.8,8644,0.009,0.58,"Uroglena"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Cryptophyta","Cryptomonas erosa",20.0,1.0,109.1,109.1,84964,0.085,5.68,"Cryptomonas"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Cryptophyta","Cryptomonas lucens",10.0,1.0,27.3,27.3,2569,0.003,0.17,"Cryptomonas"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Cryptophyta","Cryptomonas rostratiformis",50.0,1.0,27.3,27.3,142749,0.143,9.54,"Cryptomonas"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",8.3,1.0,2235.6,2235.6,72574,0.073,4.85,"Rhodomonas"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",10.0,1.0,27.3,27.3,2569,0.003,0.17,"Rhodomonas"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Cyanophyta","Aphanocapsa delicatissima",16.0,7.0,245.4,1717.6,899,0.001,0.06,"Aphanocapsa"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechococcus elongatus",2.0,1.0,54.5,54.5,57,0.000,0.00,"Synechococcus"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechocystis ",1.0,1.0,17721.0,17721.0,9279,0.009,0.62,"Synechocystis"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Miscellaneous",,6.0,1.0,408.9,408.9,20556,0.021,1.37,
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Pyrrhophyta","Gymnodinium sp 2",16.0,1.0,27.3,27.3,16445,0.016,1.10,"Gymnodinium"
"AL",2005,2005-04-19 00:00:00,1,"HP 0-bottom","Pyrrhophyta","Gymnodinium sp 3",8.0,1.0,54.5,54.5,4111,0.004,0.27,"Gymnodinium"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Bacillariophyta","Cyclotella meneghiniana",20.0,1.0,4.4,4.4,13788,0.014,0.58,"Cyclotella"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Bacillariophyta","Cyclotella pseudostelligera",6.0,1.0,54.5,54.5,4625,0.005,0.20,"Cyclotella"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Bacillariophyta","Fragilaria crotonensis",90.0,4.3,8.8,38.0,91554,0.092,3.87,"Fragilaria"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Bacillariophyta","Synedra filiformis",60.0,1.0,54.5,54.5,21265,0.021,0.90,"Synedra"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlorococcaceae",4.0,1.0,27.3,27.3,914,0.001,0.04,
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlamydomonas ",5.2,1.0,163.6,163.6,8805,0.009,0.37,"Chlamydomonas"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Chlorophyta","Oocystis parva",10.0,2.0,27.3,54.5,2741,0.003,0.12,"Oocystis"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Chlorophyta","Quadrigula lacustris",20.0,1.0,54.5,54.5,1096,0.001,0.05,"Quadrigula"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Chlorophyta","Scenedesmus bijuga",4.0,2.0,27.3,54.5,228,0.000,0.01,"Scenedesmus"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Chlorophyta","Ulothrix ",560.0,35.0,27.3,954.2,299773,0.300,12.68,"Ulothrix"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Chrysophyta","Chromulina ",3.5,1.0,545.3,545.3,12990,0.013,0.55,"Chromulina"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon ",10.7,1.0,763.4,763.4,96993,0.097,4.10,"Dinobryon"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon sertularia",50.0,2.0,54.5,109.1,14275,0.014,0.60,"Dinobryon"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon sociale",40.0,1.0,163.6,163.6,29977,0.030,1.27,"Dinobryon"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Chrysophyta","Erkenia subaequiciliata",4.0,1.0,886.1,886.1,26797,0.027,1.13,"Erkenia"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Chrysophyta","Mallomonas ",25.0,1.0,54.5,54.5,61439,0.061,2.60,"Mallomonas"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cryptophyta","Cryptomonas erosa",12.0,1.0,163.6,163.6,37514,0.038,1.59,"Cryptomonas"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cryptophyta","Cryptomonas lucens",9.0,1.0,27.3,27.3,2313,0.002,0.10,"Cryptomonas"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",6.5,1.0,599.8,599.8,18215,0.018,0.77,"Rhodomonas"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",9.0,1.0,27.3,27.3,2569,0.003,0.11,"Rhodomonas"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Anabaena circinalis",47.5,15.8,109.1,1717.6,147249,0.147,6.23,"Anabaena"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Anabaena planctonica",347.0,43.4,21.9,951.9,230295,0.230,9.74,"Anabaena"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Anabaena spiroides",70.0,27.0,26.3,711.0,115817,0.116,4.90,"Anabaena"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Aphanizomenon flos-aquae",135.0,22.5,436.2,9814.7,740012,0.740,31.29,"Aphanizomenon"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Aphanocapsa delicatissima",13.2,12.3,1772.1,21796.8,11413,0.011,0.48,"Aphanocapsa"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Aphanothece nidulans",15.8,9.5,681.6,6475.0,6781,0.007,0.29,"Aphanothece"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Coelosphaerium naegelianum",5.0,1.0,272.6,272.6,6424,0.006,0.27,"Coelosphaerium"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Gomphosphaeria lacustris",36.0,44.7,81.8,3653.3,17967,0.018,0.76,"Gomphosphaeria"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Merismopedia tenuissima",24.0,16.0,4.4,70.2,74,0.000,0.00,"Merismopedia"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Oscillatoria ",280.0,70.0,27.3,1908.4,149887,0.150,6.34,"Oscillatoria"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Oscillatoria limnetica",80.0,20.0,109.1,2181.0,15417,0.015,0.65,"Oscillatoria"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Planktothrix agardhii",376.0,94.0,21.9,2062.8,162012,0.162,6.85,"Planktothrix"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechococcus elongatus",2.0,1.0,1908.4,1908.4,1998,0.002,0.08,"Synechococcus"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechocystis ",1.0,1.0,5452.6,5452.6,2855,0.003,0.12,"Synechocystis"
"AL",2005,2005-08-08 00:00:00,1,"HP 0-bottom","Pyrrhophyta","Gymnodinium sp 2",12.0,1.0,27.3,27.3,8565,0.009,0.36,"Gymnodinium"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Bacillariophyta","Asterionella formosa",77.5,1.2,381.7,451.1,416520,0.417,22.88,"Asterionella"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Bacillariophyta","Aulacoseira ambigua",90.0,2.0,90.9,181.8,342598,0.343,18.82,"Aulacoseira"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Bacillariophyta","Fragilaria crotonensis",66.7,10.3,13.2,136.1,122440,0.122,6.73,"Fragilaria"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Bacillariophyta","Tabellaria flocculosa",79.0,1.0,109.1,109.1,275684,0.276,15.14,"Tabellaria"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlamydomonas ",6.2,1.0,163.6,163.6,19367,0.019,1.06,"Chlamydomonas"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlamydomonas globosa",8.0,1.0,18.2,18.2,4873,0.005,0.27,"Chlamydomonas"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Chlorophyta","Monomastix astigmata",4.0,1.0,18.2,18.2,171,0.000,0.01,"Monomastix"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Chrysophyta","Chromulina ",3.6,1.0,1008.7,1008.7,30154,0.030,1.66,"Chromulina"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Chrysophyta","Erkenia subaequiciliata",4.0,1.0,381.7,381.7,11543,0.012,0.63,"Erkenia"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Chrysophyta","Mallomonas ",25.2,1.0,109.1,109.1,185460,0.186,10.19,"Mallomonas"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Chrysophyta","Uroglena ",7.4,1.0,872.4,872.4,116575,0.117,6.40,"Uroglena"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Cryptophyta","Cryptomonas erosa",26.0,1.0,36.4,36.4,54816,0.055,3.01,"Cryptomonas"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Cryptophyta","Cryptomonas rostratiformis",48.0,1.0,8.8,8.8,63536,0.064,3.49,"Cryptomonas"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",12.0,1.0,181.8,181.8,17130,0.017,0.94,"Rhodomonas"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",8.5,1.0,199.9,199.9,6700,0.007,0.37,"Rhodomonas"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Aphanizomenon flos-aquae",172.0,28.7,54.5,1563.1,117854,0.118,6.47,"Aphanizomenon"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Aphanothece nidulans",16.0,24.0,36.4,872.4,914,0.001,0.05,"Aphanothece"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Coelosphaerium naegelianum",5.0,1.0,1090.5,1090.5,25695,0.026,1.41,"Coelosphaerium"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechocystis ",1.0,1.0,12813.7,12813.7,6709,0.007,0.37,"Synechocystis"
"AL",2005,2005-11-08 00:00:00,1,"HP 0-bottom","Miscellaneous",,7.0,1.0,18.2,18.2,1665,0.002,0.09,
"BM",2005,2005-04-22 00:00:00,1,"HP 0-bottom","Bacillariophyta","Asterionella formosa",83.4,1.0,272.6,272.6,203655,0.204,14.42,"Asterionella"
"BM",2005,2005-04-22 00:00:00,1,"HP 0-bottom","Bacillariophyta","Cyclotella ocellata",6.0,1.0,381.7,381.7,32376,0.032,2.29,"Cyclotella"
"BM",2005,2005-04-22 00:00:00,1,"HP 0-bottom","Bacillariophyta","Nitzschia gracilis",50.0,1.0,27.3,27.3,13383,0.013,0.95,"Nitzschia"
